model,task,value
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.35
gpt-oss:20b,ambiguity,0.35
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.15
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.55
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.55
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,ambiguity,0.55
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.55
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.35
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.2
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.35
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.8
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.35
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.45
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.35
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.55
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.8
gpt-oss:20b,ambiguity,0.25
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.55
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.45
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.2
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.75
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.35
gpt-oss:20b,ambiguity,0.5
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.65
gpt-oss:20b,ambiguity,0.35
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,ambiguity,0.4
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.6
gpt-oss:20b,ambiguity,0.7
gpt-oss:20b,ambiguity,0.3
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.01
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.2
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.2
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.2
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.01
gpt-oss:20b,revision,0.2
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.2
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.3
gpt-oss:20b,revision,0.2
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.2
gpt-oss:20b,revision,0.2
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.25
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.01
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.1
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.05
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
gpt-oss:20b,revision,0.0
