model,task,mean,sem
gemma3:12b,ambiguity,0.38249999999999995,0.015917303564480356
gemma3:12b,base_rate_neglect,0.009999999999999998,1.7434626923745965e-19
gemma3:12b,conjunction_fallacy,0.04999999999999999,1.3947701538996772e-18
gemma3:12b,context_A_then_B,0.6,0.0
gemma3:12b,context_B_then_A,0.7605,0.002046800903701664
gemma3:12b,dynamics,0.5916,0.0029945008224876797
gemma3:12b,prob_A,0.6500000000000001,0.00408248290463863
gemma3:12b,prob_A_given_not_B,0.3,0.0
gemma3:12b,revision,0.2299275,0.0035801529217991982
gemma3:12b,social,1.0,0.0
gpt-oss:20b,ambiguity,0.5802499999999999,0.009417037243860792
gpt-oss:20b,base_rate_neglect,0.021099999999999994,0.009927916969512557
gpt-oss:20b,conjunction_fallacy,0.2536,0.011015617930186142
gpt-oss:20b,context_A_then_B,0.4714999999999999,0.018461740399698466
gpt-oss:20b,context_B_then_A,0.8272999999999999,0.003948801122243344
gpt-oss:20b,dynamics,0.606575,0.004016545163477096
gpt-oss:20b,prob_A,0.576,0.015447532574047629
gpt-oss:20b,prob_A_given_not_B,0.4790999999999999,0.015147153614665121
gpt-oss:20b,revision,0.05355000000000001,0.004207493614084615
gpt-oss:20b,social,0.90515,0.01517402857569737
phi4:14b,ambiguity,0.6435,0.00895487009913948
phi4:14b,base_rate_neglect,0.46210851,0.020354030279085222
phi4:14b,conjunction_fallacy,0.31300000000000006,0.030900786168940524
phi4:14b,context_A_then_B,0.755,0.006256309946079573
phi4:14b,context_B_then_A,0.8820000000000001,0.0038612291966536906
phi4:14b,dynamics,0.59975,0.003570846147771599
phi4:14b,prob_A,0.7419999999999999,0.00684311937849128
phi4:14b,prob_A_given_not_B,0.47,0.012268049987877064
phi4:14b,revision,0.10404999999999999,0.007885518021814536
phi4:14b,social,0.9634999999999999,0.005722981090551851
