model,task,value
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.6
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.6
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.6
llama3,ambiguity,0.8
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.6
llama3,ambiguity,0.6
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.6
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.6
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.6
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.7
llama3,ambiguity,0.8
llama3,ambiguity,0.7
llama3,ambiguity,0.7
